GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Ticket Service,hu.unideb.inf.ticketservice.model,Screening,32,64,6,6,5,14,8,6,2,6
Ticket Service,hu.unideb.inf.ticketservice.model,Movie,34,45,3,3,6,12,6,5,3,5
Ticket Service,hu.unideb.inf.ticketservice.model,Room,43,54,2,4,7,13,7,5,5,4
Ticket Service,hu.unideb.inf.ticketservice.command.impl.movie,CreateMovieCommand,0,39,0,2,0,9,0,3,0,2
Ticket Service,hu.unideb.inf.ticketservice.command.impl.movie,UpdateMovieCommand,0,72,0,4,0,18,0,6,0,4
Ticket Service,hu.unideb.inf.ticketservice.command.impl.movie,DeleteMovieCommand,0,25,0,2,0,8,0,3,0,2
Ticket Service,hu.unideb.inf.ticketservice.command.impl.movie,ListMoviesCommand,10,43,1,5,2,11,1,4,0,2
Ticket Service,hu.unideb.inf.ticketservice.command.handler,MovieCommandHandler,42,0,0,0,10,0,5,0,5,0
Ticket Service,hu.unideb.inf.ticketservice.command.handler,UserCommandHandler,29,0,0,0,8,0,4,0,4,0
Ticket Service,hu.unideb.inf.ticketservice.command.handler,ScreeningCommandHandler,33,0,0,0,8,0,4,0,4,0
Ticket Service,hu.unideb.inf.ticketservice.command.handler,RoomCommandHandler,42,0,0,0,10,0,5,0,5,0
Ticket Service,hu.unideb.inf.ticketservice.repository.init,RoomRepositoryInitializer,43,0,0,0,9,0,2,0,2,0
Ticket Service,hu.unideb.inf.ticketservice.repository.init,MovieRepositoryInitializer,40,0,0,0,9,0,2,0,2,0
Ticket Service,hu.unideb.inf.ticketservice.repository.init,ScreeningRepositoryInitializer,75,0,0,0,12,0,2,0,2,0
Ticket Service,hu.unideb.inf.ticketservice.service,AdminCredentialsProvider,0,7,0,0,0,3,0,3,0,3
Ticket Service,hu.unideb.inf.ticketservice.command.impl.account,SignInPrivilegedCommand,0,41,1,3,0,10,1,3,0,2
Ticket Service,hu.unideb.inf.ticketservice.command.impl.account,SignOutCommand,0,25,0,2,0,8,0,3,0,2
Ticket Service,hu.unideb.inf.ticketservice.command.impl.account,DescribeAccountCommand,2,24,1,3,1,8,1,3,0,2
Ticket Service,hu.unideb.inf.ticketservice.console,CustomPromptProvider,8,0,0,0,2,0,2,0,2,0
Ticket Service,hu.unideb.inf.ticketservice.service.impl,ConnectToRepositoriesServiceImpl,160,0,14,0,41,0,19,0,12,0
Ticket Service,hu.unideb.inf.ticketservice.service.impl,DateValidationImpl,7,167,6,14,1,39,5,13,0,8
Ticket Service,hu.unideb.inf.ticketservice.service.impl,LoggedInUserTrackImpl,0,13,0,0,0,6,0,3,0,3
Ticket Service,hu.unideb.inf.ticketservice.command,PrivilegedCommand,0,4,0,0,0,1,0,1,0,1
Ticket Service,hu.unideb.inf.ticketservice.command.impl.screening,ListScreeningCommand,10,45,1,5,2,11,1,4,0,2
Ticket Service,hu.unideb.inf.ticketservice.command.impl.screening,CreateScreeningCommand,0,140,0,12,0,36,0,12,0,6
Ticket Service,hu.unideb.inf.ticketservice.command.impl.screening,DeleteScreeningCommand,0,88,0,10,0,22,0,9,0,4
Ticket Service,hu.unideb.inf.ticketservice.configuration,TicketServiceConfiguration,23,0,0,0,5,0,5,0,5,0
Ticket Service,hu.unideb.inf.ticketservice,Application,8,0,0,0,3,0,2,0,2,0
Ticket Service,hu.unideb.inf.ticketservice.model.user,DefaultUser,0,6,0,0,0,2,0,1,0,1
Ticket Service,hu.unideb.inf.ticketservice.model.user,AbstractUser,26,55,5,7,3,13,7,5,2,4
Ticket Service,hu.unideb.inf.ticketservice.model.user,User,6,0,0,0,2,0,1,0,1,0
Ticket Service,hu.unideb.inf.ticketservice.model.user,Administrator,0,8,0,0,0,2,0,1,0,1
Ticket Service,hu.unideb.inf.ticketservice.command.impl.room,DeleteRoomCommand,0,25,0,2,0,8,0,3,0,2
Ticket Service,hu.unideb.inf.ticketservice.command.impl.room,CreateRoomCommand,0,40,0,2,0,10,0,3,0,2
Ticket Service,hu.unideb.inf.ticketservice.command.impl.room,ListRoomCommand,10,45,1,5,2,11,1,4,0,2
Ticket Service,hu.unideb.inf.ticketservice.command.impl.room,UpdateRoomCommand,0,76,0,4,0,19,0,6,0,4
